edf_name,size,battery_type,thrust,weight,net_thrust,current_consumption,thrust_per_current
Mercury 74mm 3000kv-CCW(4Li-Po),74.00,4.00,"2,000.00",264.00,"1,736.00",78.00,22.26
Alloy DPS Series 90mm EDF unit with 1900kv Motor - 1750watt,90.00,6.00,"3,000.00",424.00,"2,576.00",71.00,36.28
Mercury 104mm 1900KV-CW(6~7Li-Po),104.00,6.00,"4,500.00",495.00,"4,005.00",118.00,33.94
LEDFDPS90-1A19 5blades 90mm CCW,90.00,6.00,"3,200.00",424.00,"2,776.00",85.00,32.66
Mercury 90mm 1900KV-CW(6~7Li-Po),90.00,6.00,"3,500.00",440.00,"3,060.00",95.00,32.21
Dr. Mad Thrust 68mm 10-Blade Alloy EDF 2200kv Motor - 1950watt (6S),70.00,6.00,"2,650.00",300.00,"2,350.00",76.00,30.92
Dr. Mad Thrust 90mm 11-Blade Alloy EDF 1700kv Motor - 2300watt (6S) Counter Rotating,90.00,6.00,"3,000.00",350.00,"2,650.00",92.00,28.80
LEDFDPS/MBS/7S90-1A14-6S (standard or Counter Rotating Selection),90.00,6.00,"3,450.00",615.00,"2,835.00",99.00,28.64
Dr. Mad Thrust 90mm 12 Blade EDF Electroplated Version 1600kv/6S,90.00,6.00,"2,800.00",370.00,"2,430.00",85.00,28.59
Dr. Mad Thrust 90mm 12 Blade Alloy EDF 1400kv - 2500w (6S) (Counter Rotating),90.00,6.00,"3,450.00",615.00,"2,835.00",100.00,28.35
Dr. Mad Thrust 70mm 11-Blade Alloy EDF 1900kv Motor - 1900watt (6S) (Counter Rotating),70.00,6.00,"1,500.00",200.00,"1,300.00",50.00,26.00
Dr. Mad Thrust 90mm 12 Blade Alloy EDF 1550kv - 2350w (6S),90.00,6.00,"3,400.00",645.00,"2,755.00",99.00,27.83
LEDFDPS/MBS90S/SR-1A16 12blades 90mm CCW,90.00,6.00,"3,400.00",645.00,"2,755.00",99.00,27.83
Dr. Mad Thrust 80mm 10-Blade Alloy EDF 1800kv Motor - 2200 Watt (6S) (E-flite),80.00,6.00,"2,650.00",300.00,"2,350.00",87.00,27.01
Mercury Aluminum Alloy 74mm EDF Unit (6S 2200KV-CCW),74.00,6.00,"2,100.00",264.00,"1,836.00",68.00,27.00
12 Blade Alloy DPS 90mm EDF unit - 6s 1620kv 2250watt,90.00,6.00,"3,100.00",601.00,"2,499.00",97.00,25.76
LEDFDPS/MBS90 12blades 90mm 6S version (LEDFDPS/MBS90-1A16) CCW,90.00,6.00,"3,100.00",610.00,"2,490.00",97.00,25.67
Dr. Mad Thrust 70mm 11-Blade Alloy EDF 1900kv Motor - 1900watt (6S) (Counter Rotating,70.00,6.00,"2,100.00",220.00,"1,880.00",74.00,25.41
Dr. Mad Thrust 70mm 10 Blade EDF Electroplated Version 2600kv/6S,70.00,6.00,"1,600.00",200.00,"1,400.00",60.00,23.33
Dr. Mad Thrust 90mm 12-Blade Alloy EDF 1620kv Motor - (6S)(Counter Rotating),90.00,6.00,"2,267.96",690.00,"1,577.96",86.50,18.24
LEDFDPS/MBS90 12blades 90mm 8S version (LEDFDPS/MBS90-1A10) CCW,90.00,8.00,"3,600.00",640.00,"2,960.00",82.00,36.10
Mercury 90mm 1600KV-CW(8~9Li-Po),90.00,8.00,"3,600.00",440.00,"3,160.00",90.00,35.11
LEDFDPS/MBS/7S90-1A12-8S (standard or Counter Rotating Selection),90.00,8.00,"4,500.00",615.00,"3,885.00",112.00,34.69
Dr. Mad Thrust 90mm 11-Blade Alloy EDF 1400kv Motor - 2900 Watt (8S) (Counter Rotating),90.00,8.00,"3,600.00",350.00,"3,250.00",97.00,33.51
Mercury 90mm 1900KV-CW(6~7Li-Po),90.00,8.00,"4,500.00",440.00,"4,060.00",125.00,32.48
LEDFDPS/MBS 90S/SR-1A14 12blades 90mm CCW,90.00,8.00,"4,200.00",680.00,"3,520.00",115.00,30.61
LEDFDPS90-1A13 5blades 90mm CCW,90.00,9.00,"4,200.00",546.00,"3,654.00",77.00,47.45
LEDFDPS/MBS90 12blades 90mm 9S version (LEDFDPS/MBS90-1A10) CCW,90.00,9.00,"4,100.00",640.00,"3,460.00",89.00,38.88
LEDFDPS90-1A13 5blades 90mm CCW,90.00,10.00,"4,900.00",546.00,"4,354.00",92.00,47.33
LEDFDPS/MBS90 12blades 90mm 10S version (LEDFDPS/MBS90-1A10) CCW,90.00,10.00,"4,650.00",640.00,"4,010.00",99.00,40.51
